ISO,co2_1990,co2_1991,co2_1992,co2_1993,co2_1994,co2_1995,co2_1996,co2_1997,co2_1998,co2_1999,co2_2000,co2_2001,co2_2002,co2_2003,co2_2004,co2_2005,co2_2006,co2_2007,co2_2008,co2_2009,co2_2010,co2_2011,co2_2012,co2_2013,ISO,co2pc_1990,co2pc_1991,co2pc_1992,co2pc_1993,co2pc_1994,co2pc_1995,co2pc_1996,co2pc_1997,co2pc_1998,co2pc_1999,co2pc_2000,co2pc_2001,co2pc_2002,co2pc_2003,co2pc_2004,co2pc_2005,co2pc_2006,co2pc_2007,co2pc_2008,co2pc_2009,co2pc_2010,co2pc_2011,co2pc_2012,co2pc_2013,ISO,co2pcgdp_1990,co2pcgdp_1991,co2pcgdp_1992,co2pcgdp_1993,co2pcgdp_1994,co2pcgdp_1995,co2pcgdp_1996,co2pcgdp_1997,co2pcgdp_1998,co2pcgdp_1999,co2pcgdp_2000,co2pcgdp_2001,co2pcgdp_2002,co2pcgdp_2003,co2pcgdp_2004,co2pcgdp_2005,co2pcgdp_2006,co2pcgdp_2007,co2pcgdp_2008,co2pcgdp_2009,co2pcgdp_2010,co2pcgdp_2011,co2pcgdp_2012,co2pcgdp_2013,ISO,ghg_1990,ghg_1995,ghg_2000,ghg_2005,ghg_2010,ghg_2011,ghg_2012,ISO,ghgpc_1990,ghgpc_1995,ghgpc_2000,ghgpc_2005,ghgpc_2010,ghgpc_2011,ghgpc_2012
STP,59,62,60,61,60,63,63,66,63,66,162,142,144,162,121,127,104,118,123,122,120,126,131,136,STP,0.498,0.518,0.490,0.483,0.469,0.486,0.477,0.492,0.462,0.482,1.161,1.003,0.994,1.099,0.801,0.822,0.657,0.721,0.732,0.703,0.676,0.690,0.698,0.705,STP,75.97,81.10,83.00,84.94,93.31,90.29,102.79,113.43,102.07,104.25,104.03,99.05,101.75,100.04,95.84,99.16,85.19,141.88,138.35,128.76,124.12,117.05,118.73,113.71,STP,97.47,107.21,206.9,177.25,185.45,190.74,195.49,STP,0.83,0.82,1.48,1.15,1.04,1.04,1.04
SAU,165459,173189,186873,198337,210871,214423,226999,230561,242020,246959,259561,271078,283690,298010,306931,323603,337148,356088,379537,404835,425988,444086,476800,478637,SAU,10.210,10.346,10.825,11.169,11.588,11.548,12.043,12.096,12.551,12.587,12.885,12.975,12.998,13.041,12.875,13.107,13.288,13.740,14.395,15.108,15.628,15.996,16.855,16.603,SAU,167.42,161.42,128.35,158.17,170.40,184.14,213.17,257.54,236.22,245.13,235.08,182.33,184.83,174.76,160.39,167.51,160.50,155.91,150.51,159.49,157.56,154.29,148.27,151.23,SAU,205065.48,262037.7,310713.5,385792.92,495438.15,514967.26,549111.58,SAU,12.65,14.11,15.42,15.63,18.18,18.55,19.41
SEN,2396,2412,2647,2585,2632,2783,3010,3303,3687,4061,4070,4687,4823,4557,5467,5744,5670,5832,6258,6578,6870,7183,7428,7875,SEN,0.319,0.311,0.331,0.314,0.311,0.319,0.337,0.360,0.393,0.422,0.413,0.463,0.464,0.427,0.498,0.510,0.489,0.490,0.511,0.523,0.530,0.539,0.541,0.557,SEN,111.04,115.70,125.08,129.60,137.71,128.09,138.53,138.64,129.58,116.81,113.08,115.43,118.44,106.48,100.18,92.33,94.95,93.91,91.17,97.70,91.49,91.26,93.28,96.98,SEN,11016.43,12144.98,48632.88,50288.84,53407.57,53810.05,54185.37,SEN,1.47,1.39,4.93,4.46,4.12,4.04,3.95
SRB,63079,52934,47853,41795,38507,43632,51440,56173,56090,39684,42627,45122,48592,51718,57667,25292,26120,48321,47292,54696,62371,67981,64359,64929,SRB,6.095,5.054,4.506,3.880,3.532,3.970,4.664,5.095,5.103,3.628,3.917,4.168,4.513,4.832,5.421,2.392,2.486,4.628,4.556,5.299,6.075,6.653,6.326,6.408,SRB,253.34,302.21,431.81,653.78,685.24,732.21,724.59,615.72,576.58,671.30,686.11,710.24,717.96,742.81,682.86,666.53,593.24,685.64,552.83,519.00,448.18,405.95,467.53,537.47,SRB,81945.39,58587.85,57526.65,39275.89,68549.9,70400.81,72058.86,SRB,7.92,5.33,5.29,3.72,6.68,6.89,7.08
SYC,334,370,354,361,350,370,364,414,395,406,501,494,642,659,633,647,684,742,761,800,838,879,913,946,SYC,4.813,5.260,4.952,4.951,4.714,4.906,4.761,5.363,5.066,5.157,6.274,6.088,7.775,7.821,7.379,7.423,7.750,8.329,8.469,8.829,9.187,9.578,9.892,10.189,SYC,134.72,138.90,131.28,126.39,135.66,134.44,159.52,155.73,110.96,97.28,158.69,166.83,173.45,193.00,198.05,281.75,245.07,183.06,206.91,200.28,193.19,178.47,183.41,174.16,SYC,365.27,402.54,534.67,688.18,854.07,883.83,910.29,SYC,5.26,5.34,6.7,7.9,9.36,9.63,9.86
SLE,855,916,609,626,616,680,750,736,737,750,701,707,692,759,797,794,851,881,912,943,986,1033,1085,1137,SLE,0.211,0.226,0.151,0.157,0.156,0.173,0.191,0.187,0.186,0.186,0.169,0.164,0.154,0.161,0.162,0.155,0.161,0.163,0.165,0.167,0.171,0.176,0.182,0.187,SLE,78.32,81.12,102.46,105.70,109.85,120.52,150.81,170.41,157.35,159.13,148.21,149.51,134.19,139.57,130.04,169.56,147.06,126.59,128.81,82.94,80.83,75.02,71.90,65.98,SLE,9628.77,8960.42,14763.85,14869.18,11647.49,11731.17,11810.89,SLE,2.38,2.28,3.57,2.9,2.02,2,1.98
SGP,30034,31688,32854,37996,40435,40158,41618,41200,42029,38488,38404,38141,37774,36869,38473,41004,41470,42609,42601,40091,42749,43055,43830,45556,SGP,9.957,10.222,10.289,11.544,11.931,11.531,11.657,11.278,11.251,10.069,9.802,9.480,9.132,8.665,8.793,9.121,8.987,9.004,8.786,8.076,8.417,8.292,8.265,8.418,SGP,85.38,84.09,78.83,76.75,76.80,81.51,82.13,76.36,84.38,83.00,82.00,83.70,83.30,81.21,73.89,79.83,76.90,96.05,99.56,103.85,104.22,104.57,101.32,101.11,SGP,32561.17,44512.59,48133.57,47597.81,52732,54413.55,55910.28,SGP,10.79,12.78,12.28,10.59,10.38,10.48,10.54
SVK,60216,52535,49243,47507,44985,45016,45505,45444,44292,44000,42428,41988,41793,41496,40547,41283,40526,40484,41447,38143,41100,39946,37929,38875,SVK,11.409,9.916,9.261,8.904,8.408,8.394,8.470,8.448,8.227,8.169,7.875,7.792,7.757,7.702,7.525,7.657,7.508,7.489,7.653,7.031,7.564,7.343,6.965,7.133,SVK,565.11,672.44,742.75,783.20,765.57,815.84,776.70,831.38,788.26,758.75,741.72,749.52,709.96,641.35,611.71,599.96,539.39,479.90,395.92,390.38,360.66,331.62,325.97,326.45,SVK,72262.45,53824.71,50421.4,48958.79,49973.28,48551.75,46301.27,SVK,13.69,10.04,9.36,9.08,9.2,8.92,8.5
SVN,14732,13757,13318,13918,14167,14729,15991,17542,17275,16964,16608,17384,17908,17487,17565,17799,18186,18291,18618,16841,17223,16890,16486,16721,SVN,7.352,6.861,6.648,6.960,7.100,7.395,8.037,8.821,8.686,8.528,8.348,8.737,8.999,8.781,8.806,8.898,9.052,9.054,9.160,8.238,8.384,8.191,7.973,8.070,SVN,251.41,289.08,324.45,313.02,328.30,329.24,341.55,316.36,304.66,270.85,298.90,310.24,287.36,278.07,267.01,311.08,280.43,247.37,223.43,234.97,242.50,245.10,261.47,287.06,SVN,19978.02,18869.7,20927.09,22366.88,21893.66,21513.48,21074.75,SVN,9.97,9.47,10.52,11.18,10.66,10.43,10.19
SLB,178,174,168,171,152,158,162,175,172,185,267,257,301,321,356,288,315,404,429,476,523,556,565,570,SLB,0.570,0.541,0.508,0.503,0.436,0.440,0.437,0.461,0.441,0.460,0.648,0.607,0.693,0.719,0.778,0.613,0.654,0.822,0.851,0.924,0.993,1.033,1.028,1.016,SLB,76.69,88.37,68.85,63.22,68.13,65.47,75.24,108.97,200.98,150.03,192.29,165.14,206.15,181.71,173.38,227.86,213.04,207.79,189.56,192.29,181.41,146.26,144.63,143.71,SLB,5903.5,3885.28,4086.06,4323.8,4479.83,4536.58,4591.46,SLB,18.93,10.82,9.91,9.21,8.51,8.43,8.35
SOM,684,416,352,369,356,375,378,387,378,394,447,447,424,437,442,483,484,531,554,577,601,631,656,680,SOM,0.108,0.066,0.056,0.059,0.057,0.059,0.058,0.058,0.055,0.055,0.061,0.059,0.054,0.054,0.054,0.057,0.056,0.060,0.061,0.062,0.062,0.064,0.064,0.065,SOM,116.74,126.13,149.28,154.44,206.92,209.01,240.29,259.29,269.59,254.09,244.21,237.72,225.89,256.62,245.32,199.53,193.54,161.93,95.01,78.54,82.22,79.45,83.71,84.35,SOM,17953.41,18762.63,20491.62,21219.93,21461.81,21690.27,21916.32,SOM,2.84,2.96,2.77,2.51,2.23,2.19,2.15
ZAF,269076,263561,270264,266385,273133,287872,297744,314235,322062,301829,308195,293857,308440,336720,357589,358574,360880,370958,365828,346444,330852,328834,329397,329782,ZAF,7.313,6.992,6.993,6.723,6.734,6.949,7.055,7.324,7.394,6.829,6.872,6.457,6.678,7.184,7.520,7.434,7.377,7.479,7.278,6.808,6.430,6.330,6.288,6.249,ZAF,616.51,637.95,698.59,729.75,703.78,616.35,610.78,617.62,621.80,595.86,548.94,569.02,553.64,527.98,504.67,509.67,493.71,477.57,451.43,470.09,449.23,444.61,457.32,464.23,ZAF,349202,371350.21,420482.75,498312.89,456538.49,451483.82,450615.78,ZAF,9.49,8.96,9.38,10.33,8.87,8.69,8.6
ESP,228056,235878,245468,230893,241597,253540,243278,261641,270459,292831,307041,307592,326634,334205,347701,362709,354120,367364,332578,299289,282380,282218,277312,247356,ESP,5.865,6.052,6.281,5.891,6.146,6.432,6.157,6.606,6.807,7.331,7.622,7.547,7.900,7.954,8.141,8.360,8.041,8.225,7.351,6.541,6.115,6.067,5.931,5.271,ESP,176.42,185.15,189.79,211.20,197.97,190.64,198.08,200.51,196.75,181.86,175.81,160.87,151.30,149.65,144.72,143.69,150.66,148.96,152.70,165.25,155.75,162.89,173.79,168.82,ESP,293343.06,319459.33,381031.15,437016.74,354618.02,353857.39,348257.29,ESP,7.54,8.1,9.46,10.07,7.68,7.61,7.45
LKA,4232,4406,5488,5374,6163,6180,8741,8704,8998,9918,11191,10974,11535,12383,13724,14595,13318,14504,14392,14194,15837,17823,18133,18354,LKA,0.244,0.251,0.309,0.300,0.341,0.339,0.476,0.471,0.484,0.531,0.594,0.576,0.599,0.635,0.695,0.732,0.661,0.714,0.704,0.689,0.763,0.852,0.859,0.863,LKA,69.51,57.21,48.21,45.98,47.10,52.71,54.88,51.64,50.72,54.56,52.53,46.56,41.42,38.72,37.17,38.21,33.70,32.07,31.51,37.91,34.37,36.40,34.33,45.28,LKA,18379,20611.1,23282.57,27223.29,29131.29,29822.78,30451.83,LKA,1.06,1.13,1.24,1.36,1.4,1.43,1.44
SDN,5540,4939,4681,3337,4836,4542,4466,5388,4830,5285,5442,6271,7777,8595,9590,9875,11181,11151,11853,12673,12774,12145,12891,13470,SDN,0.277,0.237,0.215,0.147,0.204,0.185,0.177,0.208,0.182,0.195,0.196,0.221,0.266,0.287,0.312,0.313,0.345,0.336,0.348,0.364,0.358,0.333,0.347,0.355,SDN,99.75,87.48,64.19,59.39,61.20,52.51,51.12,54.43,50.74,50.82,48.40,41.19,45.56,41.26,39.41,41.12,33.62,40.19,34.78,31.93,22.00,32.97,34.45,36.04,SDN,92666.85,101975.76,529253.88,536024.45,487562.73,489798.21,491982.27,SDN,4.63,4.16,19.09,16.97,13.68,13.44,13.23
SUR,1636,1613,1543,1441,1403,1447,1414,1299,1317,1354,1319,1366,1491,1464,1419,1428,1494,1476,1464,1478,1493,1574,1635,1645,SUR,4.022,3.907,3.686,3.396,3.263,3.320,3.201,2.902,2.902,2.943,2.826,2.886,3.107,3.007,2.876,2.858,2.957,2.892,2.840,2.841,2.844,2.972,3.059,3.050,SUR,497.49,402.35,496.20,496.18,515.47,546.18,487.78,467.72,546.56,491.39,410.56,338.48,343.59,295.87,261.06,228.84,220.38,246.65,233.53,216.89,194.28,179.70,178.34,166.89,SUR,10497.9,9187.75,2495.76,2577.08,2532.29,2598.26,2657.88,SUR,25.81,21.08,5.35,5.16,4.82,4.9,4.97
SWZ,464,456,389,415,498,542,508,528,575,755,784,888,772,732,916,757,784,1009,847,877,907,953,991,1027,SWZ,0.538,0.514,0.428,0.448,0.527,0.563,0.516,0.525,0.559,0.720,0.737,0.826,0.714,0.673,0.837,0.685,0.701,0.889,0.734,0.748,0.761,0.786,0.805,0.822,SWZ,64.60,63.51,71.60,89.03,99.57,103.57,107.32,82.46,70.34,70.16,60.04,61.62,71.28,69.29,67.45,74.53,70.37,63.03,60.60,51.01,53.41,64.46,68.96,62.88,SWZ,2261.63,2292.55,2814.74,2940.41,3378.34,3430.02,3478.03,SWZ,2.62,2.38,2.65,2.66,2.83,2.83,2.83
SWE,57457,57992,60590,60436,62697,62512,67845,61348,63066,61586,57846,57912,59670,60062,58171,55027,54244,51650,50463,47190,52826,50848,48051,48239,SWE,6.713,6.730,6.982,6.917,7.134,7.082,7.667,6.925,7.117,6.948,6.520,6.515,6.696,6.717,6.477,6.094,5.968,5.639,5.465,5.069,5.630,5.381,5.052,5.040,SWE,360.29,335.16,345.76,381.49,352.65,318.48,324.30,288.25,250.57,218.83,191.18,187.03,195.23,195.73,187.78,170.81,155.87,150.74,153.08,168.40,157.64,158.88,156.95,167.60,SWE,77170.66,82229.84,77926.24,74562.61,71434.71,68780.33,65767.79,SWE,9.02,9.32,8.78,8.26,7.61,7.28,6.91
CHE,44707,46598,46865,44398,43487,44248,45009,43703,45526,45534,44131,44993,43834,45403,45908,46469,46077,44257,46568,45227,46989,43027,44091,46678,CHE,6.699,6.914,6.878,6.443,6.248,6.306,6.376,6.164,6.400,6.380,6.159,6.248,6.053,6.229,6.251,6.272,6.158,5.850,6.085,5.841,6.001,5.436,5.513,5.779,CHE,156.94,142.09,134.05,140.10,139.87,143.14,138.00,137.70,126.53,117.96,126.14,123.21,132.63,132.34,129.47,121.29,116.32,115.63,117.97,120.99,111.33,107.13,107.87,107.66,CHE,56393.8,54577.65,53063.22,55882.85,57154.18,53066.87,54108.1,CHE,8.45,7.78,7.41,7.54,7.3,6.7,6.77
SYR,35981,41471,43015,44041,42993,45349,46398,46021,49190,50253,50708,49506,49924,49305,49635,50149,52991,54642,51348,48535,49545,45207,47161,48347,SYR,2.890,3.235,3.262,3.247,3.083,3.163,3.146,3.034,3.155,3.142,3.097,2.964,2.938,2.850,2.808,2.760,2.818,2.793,2.524,2.308,2.301,2.073,2.154,2.208,SYR,183.49,223.70,236.12,262.93,271.01,259.67,305.21,286.68,299.75,364.12,412.66,438.33,377.31,387.15,419.69,424.71,392.55,424.32,468.01,457.95,454.34,443.53,467.84,478.65,SYR,48602.09,60581.46,68163.27,67605.91,73021.04,75181.26,77118.71,SYR,3.9,4.23,4.16,3.72,3.39,3.45,3.52
TWN,125125,134529,143317,154540,163431,171763,180920,193236,212531,220029,231147,237792,245465,253898,263458,269755,276999,279646,267474,253788,274487,269489,268072,271560,TWN,6.184,6.588,6.953,7.430,7.789,8.119,8.486,8.998,9.828,10.103,10.538,10.760,11.022,11.316,11.661,11.869,12.128,12.194,11.624,10.996,11.859,11.611,11.519,11.640,TWN,162.38,147.68,148.67,165.03,165.14,175.60,176.14,184.31,163.50,151.84,153.53,160.58,153.45,168.70,158.30,186.45,192.37,184.47,196.90,213.63,208.05,211.48,222.26,229.33,TWN,137447.14,185529.34,249438.51,290612.21,306144.87,316576.87,325848.42,TWN,6.79,8.77,11.37,12.79,13.23,13.64,14
TJK,13055,12552,10643,8530,5841,5916,6279,5614,5946,6069,4847,5361,5346,5664,6387,6548,7265,8231,7792,7358,7700,7961,7742,7714,TJK,2.464,2.317,1.927,1.519,1.024,1.023,1.071,0.946,0.989,0.996,0.784,0.852,0.835,0.867,0.959,0.962,1.045,1.157,1.071,0.988,1.009,1.019,0.967,0.940,TJK,158.49,181.46,169.15,215.17,279.54,326.34,404.56,407.89,391.39,383.04,364.30,298.26,309.64,321.12,301.53,294.09,283.41,967.43,862.08,704.22,529.97,337.91,318.34,314.62,TJK,21668.06,12715.77,10059.4,12218.02,14727.21,15285.82,15364.58,TJK,4.09,2.2,1.63,1.8,1.93,1.96,1.92
TZA,2101,2237,2059,2159,2130,2932,3462,3193,2806,2612,2996,3218,3674,3908,4261,4650,4972,5274,5481,5130,5403,5798,6050,6334,TZA,0.082,0.085,0.076,0.077,0.073,0.098,0.112,0.101,0.087,0.079,0.088,0.092,0.103,0.106,0.113,0.120,0.124,0.128,0.129,0.118,0.120,0.125,0.127,0.129,TZA,74.38,66.87,62.18,59.19,59.69,60.35,60.73,58.10,56.70,49.23,45.88,45.30,44.44,44.22,41.90,40.60,38.49,37.95,37.63,32.66,32.00,29.65,38.17,42.13,TZA,94958.05,90916,215939.36,269558.99,234147.16,234762.03,235353.12,TZA,3.73,3.04,6.35,6.94,5.21,5.06,4.93
THA,90766,100703,110029,125150,139988,161491,180994,183956,164768,171788,172873,179251,189200,202117,221479,225558,226884,220831,227057,224020,240377,247210,264675,262228,THA,1.604,1.761,1.908,2.155,2.393,2.738,3.039,3.055,2.705,2.788,2.773,2.842,2.966,3.134,3.403,3.441,3.444,3.342,3.431,3.380,3.620,3.713,3.963,3.913,THA,68.60,62.00,57.94,61.17,61.78,62.57,62.13,66.44,72.45,67.14,70.25,75.64,78.64,75.32,72.37,89.75,100.09,115.05,124.55,139.33,147.00,164.30,176.04,193.87,THA,208062.85,281623.81,283870.04,364315.7,421227.83,431312.31,440411.68,THA,3.68,4.77,4.55,5.56,6.34,6.48,6.59
TLS,1,1,1,1,7,10,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,TLS,0.001,0.001,0.001,0.001,0.008,0.012,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,TLS,1.15,1.16,1.14,1.10,1.04,0.97,0.90,0.85,0.84,0.82,0.75,0.67,0.74,0.77,0.78,0.75,0.79,0.73,0.66,0.61,0.57,3.17,4.28,0.44,TLS,453.02,781.22,615.33,885.58,940.46,949.91,959.35,TLS,0.6,0.9,0.72,0.89,0.87,0.87,0.86
TGO,778,720,552,428,763,755,1147,864,1068,1373,1276,1141,1209,1446,1385,1318,1237,1237,2605,2723,2880,3083,3378,3569,TGO,0.205,0.185,0.138,0.105,0.182,0.176,0.261,0.192,0.231,0.290,0.262,0.229,0.236,0.275,0.257,0.238,0.218,0.212,0.435,0.443,0.457,0.476,0.508,0.523,TGO,72.48,67.47,81.23,84.51,97.79,99.15,101.14,81.81,81.27,89.77,65.80,75.01,71.45,100.92,101.02,104.41,102.10,108.93,98.67,73.05,54.49,92.59,86.50,125.00,TGO,13410.26,12779.71,22054.71,32080.96,22578.12,22760.64,22931.86,TGO,3.54,2.98,4.53,5.79,3.58,3.52,3.45
TON,45,51,58,60,72,71,75,73,67,63,95,94,70,77,72,73,72,72,66,64,61,65,66,67,TON,0.469,0.540,0.611,0.632,0.757,0.743,0.775,0.754,0.687,0.650,0.968,0.959,0.703,0.774,0.714,0.720,0.704,0.703,0.640,0.615,0.590,0.621,0.628,0.631,TON,47.15,48.16,50.47,45.16,46.33,49.11,52.14,76.12,108.58,103.34,89.15,81.10,58.31,50.90,75.85,84.74,89.62,92.59,105.90,116.20,116.41,135.82,132.48,137.93,TON,124.45,150.45,175.12,153.79,151.93,155.29,158.36,TON,1.31,1.57,1.79,1.52,1.46,1.49,1.51
TTO,11791,11958,12367,11740,12680,12568,13720,14160,15875,16827,17422,18851,20057,21797,27959,32457,38570,37224,40538,39872,42555,40787,37263,39902,TTO,9.650,9.723,9.994,9.434,10.141,10.014,10.903,11.232,12.574,13.304,13.740,14.816,15.697,16.978,21.667,25.026,29.590,28.414,30.794,30.148,32.042,30.596,27.862,29.752,TTO,396.73,371.53,342.66,401.38,431.93,434.52,418.66,439.61,437.47,464.99,457.34,455.64,425.16,372.18,345.18,360.41,316.10,299.94,294.21,318.26,301.47,330.92,323.08,347.13,TTO,15412.59,16779.95,24111.81,43922.04,58068.76,59776.58,61308.53,TTO,12.61,13.37,19.02,33.87,43.72,44.84,45.84
TUN,14831,15254,16128,16759,16880,17249,17755,18298,19052,20021,21015,21858,22206,22229,23042,22551,23414,24334,25651,26246,27314,25743,27225,28300,TUN,1.823,1.834,1.898,1.932,1.911,1.920,1.948,1.981,2.038,2.118,2.200,2.265,2.278,2.257,2.316,2.244,2.304,2.368,2.468,2.497,2.569,2.394,2.503,2.574,TUN,107.08,113.87,107.93,112.66,122.76,133.47,147.39,154.45,152.36,139.38,155.20,155.14,157.72,153.70,146.85,151.90,155.27,152.28,149.53,152.59,153.04,154.51,151.69,151.87,TUN,21219.03,24746.42,30799.83,32172.82,37649.97,38741.14,39721.01,TUN,2.61,2.75,3.22,3.2,3.54,3.6,3.65
TUR,149127,152122,157963,162932,162825,177111,192853,203602,206123,205017,225794,207373,218491,229668,235414,246134,272519,297759,284647,284513,300178,319794,333923,330274,TUR,2.762,2.770,2.830,2.873,2.826,3.026,3.244,3.372,3.362,3.294,3.574,3.235,3.360,3.483,3.522,3.633,3.971,4.285,4.045,3.994,4.161,4.377,4.513,4.408,TUR,107.46,111.19,114.59,118.13,136.72,125.26,107.88,104.70,102.49,114.91,113.55,127.46,130.31,134.53,126.79,121.22,124.57,129.00,130.73,142.64,134.78,123.83,131.89,138.02,TUR,224459.04,261203.42,316464.84,347595.11,422721.87,434798.46,445640.08,TUR,4.16,4.46,5.01,5.13,5.86,5.95,6.02
TKM,48867,42511,31802,29561,35688,35890,32314,32403,32845,38896,38825,40380,41477,46754,43298,45062,45616,49504,53440,50448,55283,58837,64650,58046,TKM,13.322,11.269,8.192,7.405,8.714,8.570,7.572,7.473,7.473,8.742,8.625,8.871,9.016,10.059,9.219,9.491,9.500,10.190,10.867,10.132,10.965,11.522,12.498,11.077,TKM,645.42,722.90,325.05,467.38,598.21,681.29,643.91,510.43,496.85,446.00,441.73,438.02,463.36,472.03,465.48,455.04,425.60,1283.90,973.79,686.58,584.44,615.15,556.82,454.95,TKM,81331.87,55244.04,63236.16,79175.65,87379.67,88648.72,92178.07,TKM,22.17,13.19,14.05,16.68,17.33,17.36,17.82
TUV,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TUV,0.054,0.054,0.054,0.055,0.055,0.055,0.055,0.055,0.055,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,TUV,7.86,7.81,7.79,7.72,7.44,7.69,7.98,7.72,7.28,7.43,7.58,7.57,7.07,7.53,7.70,8.12,8.16,7.77,7.31,7.59,7.79,7.50,7.55,7.56,TUV,4.03,4.63,4.9,5.04,5.11,5.18,5.24,TUV,0.45,0.5,0.52,0.52,0.52,0.53,0.53
UGA,655,742,693,724,715,769,803,863,1004,1055,1019,1123,1143,1241,1275,1357,1385,1474,1531,1589,1676,1805,1848,1950,UGA,0.037,0.041,0.037,0.037,0.036,0.037,0.037,0.039,0.044,0.045,0.042,0.045,0.044,0.046,0.046,0.047,0.047,0.048,0.048,0.048,0.049,0.051,0.051,0.052,UGA,41.10,40.86,38.61,35.89,36.24,30.73,32.81,34.45,19.33,20.96,20.03,18.89,18.41,20.20,18.97,25.61,20.15,18.39,19.14,16.69,16.47,15.25,15.86,15.64,UGA,36900.52,38761.04,72771.09,111346.72,79906.21,80318.97,80725.08,UGA,2.1,1.87,3,3.88,2.35,2.29,2.22
UKR,768872,710612,626108,546282,450215,449675,391606,376530,362760,360861,353054,350864,351678,377841,355301,335471,333697,347499,339264,280375,302088,317640,311643,303434,UKR,14.884,13.751,12.123,10.596,8.761,8.792,7.706,7.468,7.259,7.289,7.197,7.216,7.296,7.903,7.488,7.117,7.119,7.449,7.302,6.060,6.560,6.935,6.845,6.707,UKR,853.93,952.51,1104.38,1333.26,1757.40,2000.99,2278.70,2332.69,2366.87,2361.64,2237.90,2055.74,2000.39,1836.16,1658.08,1633.87,1509.73,1937.55,1750.48,1810.23,1515.77,1187.46,1183.67,1011.83,UKR,953118.72,598434.25,470107.96,434668.76,393092.06,410067.31,404900.3,UKR,18.45,11.7,9.58,9.22,8.54,8.95,8.89
ARE,56994,63273,61591,64445,70335,74866,82338,80969,83949,86182,92702,92973,103886,109837,115053,118140,125337,140775,154236,165491,177420,186209,193777,202044,ARE,31.549,33.162,30.597,30.382,31.510,31.908,33.324,31.034,30.488,29.783,30.632,29.684,32.223,32.600,31.447,28.475,25.707,24.283,22.686,21.441,21.018,20.864,21.050,21.618,ARE,164.55,163.94,161.51,195.66,185.79,198.28,139.67,140.87,132.48,129.59,113.31,148.66,149.88,134.59,117.74,119.81,121.31,117.52,126.43,129.28,133.05,139.78,142.57,149.05,ARE,72498.58,93904.01,115420.51,143367.66,193127.16,199342.52,204888.72,ARE,40.13,40.02,38.14,34.56,22.88,22.34,22.26
GBR,588275,595366,578566,560889,551360,555800,570732,545470,548870,542137,545033,562777,544966,557901,554253,553868,554549,543127,532878,484910,508044,468544,487673,475119,GBR,10.282,10.378,10.058,9.725,9.534,9.583,9.812,9.349,9.377,9.230,9.245,9.509,9.170,9.345,9.240,9.187,9.148,8.908,8.688,7.859,8.185,7.505,7.768,7.525,GBR,499.20,473.33,452.08,440.52,427.36,408.12,420.08,366.00,342.74,324.54,304.94,289.59,296.59,292.17,284.05,278.10,265.05,258.49,263.63,270.16,257.63,250.45,251.77,254.11,GBR,777244.23,728336.09,673897.41,659108.09,609586.56,568061.83,585779.78,GBR,13.58,12.56,11.43,10.93,9.82,9.1,9.33
USA,4989245,4955857,5040889,5181255,5257203,5256738,5439571,5576145,5647513,5692257,5866987,5753471,5824604,5873473,5935359,5935204,5838304,5914141,5743708,5322280,5499996,5374600,5169736,5297581,USA,19.604,19.278,19.414,19.754,19.833,19.612,20.055,20.306,20.311,20.227,20.615,20.010,20.066,20.054,20.087,19.906,19.400,19.468,18.730,17.197,17.614,17.067,16.282,16.552,USA,531.18,513.77,473.96,491.42,488.61,476.58,462.80,422.88,398.93,360.69,345.07,357.89,352.77,340.34,328.51,343.04,338.08,324.98,323.74,338.79,339.71,338.44,329.26,334.43,USA,6136093.5,6365296.6,6969123.8,7182808.4,6713348.97,6571653.98,6343840.51,USA,24.11,23.75,24.49,24.09,21.5,20.87,19.98
URY,3900,4432,4857,4620,4333,4731,5546,5643,5846,6853,5523,4990,4583,4566,5552,5476,6387,5898,5651,5964,5601,6578,6618,6601,URY,1.254,1.415,1.540,1.454,1.353,1.467,1.708,1.725,1.776,2.071,1.663,1.500,1.377,1.373,1.670,1.647,1.918,1.767,1.687,1.775,1.661,1.944,1.949,1.937,URY,185.21,173.37,170.68,171.42,157.31,163.03,167.42,138.34,119.35,112.73,91.88,86.11,87.20,85.04,82.04,108.04,111.85,83.39,88.42,94.66,83.06,72.57,76.44,85.83,URY,26111.57,30383.55,30375.78,32688.88,33285.2,33773.77,34237.83,URY,8.4,9.42,9.15,9.83,9.87,9.98,10.08
